country,concept,source,flow,series_key,frequency,units,priority,test_status,rows,start,end,last_tested,notes
BRA,cpi,imf,CPI,BRA.CPI._T.IX.M,monthly,index,fallback,OK,14,2025-M01,2026-M02,2026-04-15T14:20:38+00:00,Current IMF SDMX 2.1 CPI pattern; good cross-country fallback.
BRA,inflation,imf,CPI,BRA.CPI._T.YOY_PCH_PA_PT.M,monthly,percent_yoy,fallback,OK,14,2025-M01,2026-M02,2026-04-15T14:20:39+00:00,Current IMF SDMX 2.1 CPI percent-change pattern.
BRA,policy_rate,imf,MFS_IR,BRA.FPOLM_PA.M,monthly,percent_pa,discovery,NEEDS_REVIEW,1,,,2026-04-15T14:20:40+00:00,Dimension map still provisional; expected to need codelist lookup. Probe returned rows but no recognizable time-period column.
BRA,exchange_rate,imf,MFS_FMP,BRA.ENDA_XDC_USD_RATE.M,monthly,local_per_usd,discovery,NEEDS_REVIEW,1,,,2026-04-15T14:20:42+00:00,Dimension map still provisional; expected to need codelist lookup. Probe returned rows but no recognizable time-period column.
BRA,unemployment,imf,IFS,BRA.LUR_PT.M,monthly,percent,discovery,ERROR,,,,2026-04-15T14:20:44+00:00,Dimension map still provisional; may move to a labour-specific IMF dataflow. Probe failed: 403 Client Error: Forbidden for url: https://api.imf.org/external/sdmx/2.1/data/IFS/BRA.LUR_PT.M?startPeriod=2025
DEU,government_yield_2y,bundesbank,BBSIS,M.I.ZST.ZI.EUR.S1311.B.A604.R02XX.R.A.A._Z._Z.A,monthly,percent_pa,preferred,OK,15,2025-01,2026-03,2026-04-15T14:18:02+00:00,Verified BBSIS term-structure key.
DEU,government_yield_5y,bundesbank,BBSIS,M.I.ZST.ZI.EUR.S1311.B.A604.R05XX.R.A.A._Z._Z.A,monthly,percent_pa,preferred,OK,15,2025-01,2026-03,2026-04-15T14:18:03+00:00,Verified BBSIS term-structure key.
DEU,government_yield_10y,bundesbank,BBSIS,M.I.ZST.ZI.EUR.S1311.B.A604.R10XX.R.A.A._Z._Z.A,monthly,percent_pa,preferred,OK,15,2025-01,2026-03,2026-04-15T14:18:05+00:00,Verified BBSIS term-structure key.
DEU,household_credit,bundesbank,BBKRT,BBKRT.M.U.NS.A.A.A.AB.A.A.PUR.A.A,monthly,unknown,discovery,ERROR,,,,2026-04-15T14:18:07+00:00,Legacy key fails; use discovery output to find current credit key. Probe failed: 400 Client Error: Bad Request for url: https://api.statistiken.bundesbank.de/rest/data/BBKRT/BBKRT.M.U.NS.A.A.A.AB.A.A.PUR.A.A?format=csv&lang=en&startPeriod=2025
DEU,nfc_credit,bundesbank,BBKRT,BBKRT.M.U.NS.A.A.A.NF.A.A.PUR.A.A,monthly,unknown,discovery,ERROR,,,,2026-04-15T14:18:08+00:00,Legacy key fails; use discovery output to find current credit key. Probe failed: 400 Client Error: Bad Request for url: https://api.statistiken.bundesbank.de/rest/data/BBKRT/BBKRT.M.U.NS.A.A.A.NF.A.A.PUR.A.A?format=csv&lang=en&startPeriod=2025
JPN,producer_prices,boj_flatfile,flatfile,https://www.stat-search.boj.or.jp/info/cgpi_m_en.zip,monthly,index,preferred,OK,3042,,,2026-04-15T14:18:10+00:00,Current public CGPI flat-file package.
JPN,current_account,boj_flatfile,flatfile,https://www.stat-search.boj.or.jp/info/bp_m_en.zip,monthly,jpy,candidate,OK,2769,,,2026-04-15T14:18:11+00:00,Current public BoP flat-file package; inspect columns before promotion.
JPN,policy_rate,boj_api,search,MADR1Z@D,daily,percent_pa,discovery,ERROR,,,,2026-04-15T14:18:13+00:00,Legacy API code currently fails; replace with current API or flat-file package. Probe failed: 404 Client Error: Not Found for url: https://www.stat-search.boj.or.jp/api/v1/search?code=MADR1Z%40D&format=csv&from=202501
JPN,money_base,boj_api,search,MD01'MABASE1@M,monthly,jpy,discovery,ERROR,,,,2026-04-15T14:18:14+00:00,Legacy API code currently fails; replace with current API or flat-file package. Probe failed: 404 Client Error: Not Found for url: https://www.stat-search.boj.or.jp/api/v1/search?code=MD01%27MABASE1%40M&format=csv&from=202501
