as_of_date,release_date,release_name,indicator_code,indicator_name,latest_as_of_date,prior_as_of_date,reference_period,actual_value,expected_value,surprise,impact,direction,category,unit,notes,source,source_url
2026-01-05,2026-01-05,90-day bank bill swap rate,gdp,GDP,2026-01-05,,2026Q1,0.06000000000000005,0.016388888888888883,0.0436111111,-0.0109027778,negative,financial,percent QoQ SAAR,new_release,aus_bbsw90,
2026-01-05,2025-12-30,Broad money,gdp,GDP,2026-01-05,,2026Q1,0.35895902152198306,5.789230184510048,-5.430271163,-1.3575677907,negative,money,percent QoQ SAAR,carried_forward,aus_broadmny,
2026-01-05,2026-01-05,RBA commodity price index,gdp,GDP,2026-01-05,,2026Q1,3.6828673409015624,-11.906236928079105,15.589104269,3.1178208538,positive,trade,percent QoQ SAAR,new_release,aus_comm_usd,
2026-01-05,2025-12-30,M3 money,gdp,GDP,2026-01-05,,2026Q1,0.25205167151917485,5.831219835401999,-5.5791681639,-1.6737504492,negative,money,percent QoQ SAAR,carried_forward,aus_m3,
2026-01-30,2026-01-05,90-day bank bill swap rate,gdp,GDP,2026-01-30,2026-01-05,2026Q1,0.06000000000000005,0.016388888888888883,0.0436111111,-0.0109027778,negative,financial,percent QoQ SAAR,carried_forward,aus_bbsw90,
2026-01-30,2026-01-30,Broad money,gdp,GDP,2026-01-30,2026-01-05,2026Q1,6.37156967612941,5.654772777165889,0.716796899,0.1791992247,positive,money,percent QoQ SAAR,new_release,aus_broadmny,
2026-01-30,2026-01-05,RBA commodity price index,gdp,GDP,2026-01-30,2026-01-05,2026Q1,3.6828673409015624,-11.906236928079105,15.589104269,3.1178208538,positive,trade,percent QoQ SAAR,carried_forward,aus_comm_usd,
2026-01-30,2026-01-30,M3 money,gdp,GDP,2026-01-30,2026-01-05,2026Q1,6.140876174539648,5.6907967933933055,0.4500793811,0.1350238143,positive,money,percent QoQ SAAR,new_release,aus_m3,
2026-02-05,2026-02-05,90-day bank bill swap rate,gdp,GDP,2026-02-05,2026-01-30,2026Q1,0.06000000000000005,0.015000000000000001,0.045,-0.01125,negative,financial,percent QoQ SAAR,new_release,aus_bbsw90,
2026-02-05,2026-01-30,Broad money,gdp,GDP,2026-02-05,2026-01-30,2026Q1,6.37156967612941,5.654772777165889,0.716796899,0.1791992247,positive,money,percent QoQ SAAR,carried_forward,aus_broadmny,
2026-02-05,2026-02-05,RBA commodity price index,gdp,GDP,2026-02-05,2026-01-30,2026Q1,38.59629178795317,-13.046897680505033,51.6431894685,10.3286378937,positive,trade,percent QoQ SAAR,new_release,aus_comm_usd,
