as_of_date,release_date,release_name,indicator_code,indicator_name,latest_as_of_date,prior_as_of_date,reference_period,actual_value,expected_value,surprise,impact,direction,category,unit,notes,source,source_url
2026-01-05,2026-01-05,RBA commodity price index,inflation,Inflation,2026-01-05,,2026Q1,3.6828673409015624,-11.906236928079105,15.589104269,4.6767312807,positive,prices,percent annualized,new_release,aus_comm_usd,
2026-01-05,2025-12-29,ABS CPI,inflation,Inflation,2026-01-05,,2026Q1,4.200518346574751,-6.59740263829547,10.7979209849,7.5585446894,positive,prices,percent annualized,carried_forward,aus_cpi,
2026-01-29,2026-01-05,RBA commodity price index,inflation,Inflation,2026-01-29,2026-01-05,2026Q1,3.6828673409015624,-11.906236928079105,15.589104269,4.6767312807,positive,prices,percent annualized,carried_forward,aus_comm_usd,
2026-01-29,2026-01-29,ABS CPI,inflation,Inflation,2026-01-29,2026-01-05,2026Q1,1.6194267971189749,-6.94652195394286,8.5659487511,5.9961641257,positive,prices,percent annualized,new_release,aus_cpi,
2026-02-05,2026-02-05,RBA commodity price index,inflation,Inflation,2026-02-05,2026-01-29,2026Q1,38.59629178795317,-13.046897680505033,51.6431894685,15.4929568405,positive,prices,percent annualized,new_release,aus_comm_usd,
2026-02-05,2026-01-29,ABS CPI,inflation,Inflation,2026-02-05,2026-01-29,2026Q1,1.6194267971189749,-6.94652195394286,8.5659487511,5.9961641257,positive,prices,percent annualized,carried_forward,aus_cpi,
2026-03-01,2026-02-05,RBA commodity price index,inflation,Inflation,2026-03-01,2026-02-05,2026Q1,38.59629178795317,-13.046897680505033,51.6431894685,15.4929568405,positive,prices,percent annualized,carried_forward,aus_comm_usd,
2026-03-01,2026-03-01,ABS CPI,inflation,Inflation,2026-03-01,2026-02-05,2026Q1,0.5601252877120252,-6.467267614989151,7.0273929027,4.9191750319,positive,prices,percent annualized,new_release,aus_cpi,
2026-03-05,2026-03-05,RBA commodity price index,inflation,Inflation,2026-03-05,2026-03-01,2026Q1,7.100612433706222,-12.927872663967769,20.0284850977,6.0085455293,positive,prices,percent annualized,new_release,aus_comm_usd,
2026-03-05,2026-03-01,ABS CPI,inflation,Inflation,2026-03-05,2026-03-01,2026Q1,0.5601252877120252,-6.467267614989151,7.0273929027,4.9191750319,positive,prices,percent annualized,carried_forward,aus_cpi,
2026-04-05,2026-04-05,RBA commodity price index,inflation,Inflation,2026-04-05,2026-03-05,2026Q2,23.369774617160832,-13.5482636390024,36.9180382562,11.0754114768,positive,prices,percent annualized,new_release,aus_comm_usd,
2026-04-05,2026-03-01,ABS CPI,inflation,Inflation,2026-04-05,2026-03-05,2026Q2,0.5601252877120252,-6.467267614989151,7.0273929027,4.9191750319,positive,prices,percent annualized,carried_forward,aus_cpi,
