as_of_date,component_code,component_name,reference_period,contribution,direction,category,unit
2026-01-01,dtwexbgs,Trade Weighted U.S. Dollar Index,2026Q1,3.4423809325,positive,fx,percent QoQ SAAR
2026-01-01,indpro,Industrial Production Index,2026Q1,1.6292755061,positive,production,percent QoQ SAAR
2026-01-01,payems,Nonfarm Payrolls,2026Q1,-0.2564385513,negative,labor,percent QoQ SAAR
2026-01-08,dtwexbgs,Trade Weighted U.S. Dollar Index,2026Q1,3.4423809325,positive,fx,percent QoQ SAAR
2026-01-08,indpro,Industrial Production Index,2026Q1,1.6292755061,positive,production,percent QoQ SAAR
2026-01-08,payems,Nonfarm Payrolls,2026Q1,0.084861551,positive,labor,percent QoQ SAAR
2026-01-17,dtwexbgs,Trade Weighted U.S. Dollar Index,2026Q1,3.4423809325,positive,fx,percent QoQ SAAR
2026-01-17,indpro,Industrial Production Index,2026Q1,3.5161574838,positive,production,percent QoQ SAAR
2026-01-17,payems,Nonfarm Payrolls,2026Q1,0.084861551,positive,labor,percent QoQ SAAR
2026-02-01,dtwexbgs,Trade Weighted U.S. Dollar Index,2026Q1,2.4262129337,positive,fx,percent QoQ SAAR
2026-02-01,indpro,Industrial Production Index,2026Q1,3.5161574838,positive,production,percent QoQ SAAR
2026-02-01,payems,Nonfarm Payrolls,2026Q1,0.084861551,positive,labor,percent QoQ SAAR
2026-02-08,dtwexbgs,Trade Weighted U.S. Dollar Index,2026Q1,2.4262129337,positive,fx,percent QoQ SAAR
2026-02-08,indpro,Industrial Production Index,2026Q1,3.5161574838,positive,production,percent QoQ SAAR
2026-02-08,payems,Nonfarm Payrolls,2026Q1,-0.4546608387,negative,labor,percent QoQ SAAR
2026-02-17,dtwexbgs,Trade Weighted U.S. Dollar Index,2026Q1,2.4262129337,positive,fx,percent QoQ SAAR
2026-02-17,indpro,Industrial Production Index,2026Q1,0.5355680781,positive,production,percent QoQ SAAR
2026-02-17,payems,Nonfarm Payrolls,2026Q1,-0.4546608387,negative,labor,percent QoQ SAAR
2026-03-01,dtwexbgs,Trade Weighted U.S. Dollar Index,2026Q1,4.2183538345,positive,fx,percent QoQ SAAR
2026-03-01,indpro,Industrial Production Index,2026Q1,0.5355680781,positive,production,percent QoQ SAAR
2026-03-01,payems,Nonfarm Payrolls,2026Q1,-0.4546608387,negative,labor,percent QoQ SAAR
2026-03-08,dtwexbgs,Trade Weighted U.S. Dollar Index,2026Q1,4.2183538345,positive,fx,percent QoQ SAAR
2026-03-08,indpro,Industrial Production Index,2026Q1,0.5355680781,positive,production,percent QoQ SAAR
2026-03-08,payems,Nonfarm Payrolls,2026Q1,0.1564311209,positive,labor,percent QoQ SAAR
2026-04-01,dtwexbgs,Trade Weighted U.S. Dollar Index,2026Q2,-6.3592572914,negative,fx,percent QoQ SAAR
2026-04-01,indpro,Industrial Production Index,2026Q2,0.5355680781,positive,production,percent QoQ SAAR
2026-04-01,payems,Nonfarm Payrolls,2026Q2,0.1564311209,positive,labor,percent QoQ SAAR
