as_of_date,release_date,release_name,indicator_code,indicator_name,latest_as_of_date,prior_as_of_date,reference_period,actual_value,expected_value,surprise,impact,direction,category,unit,notes,source,source_url
2026-01-01,2026-01-01,Trade Weighted U.S. Dollar Index,exports,Exports,2026-01-01,,2026Q1,-12.393467509771298,-0.9188644013157491,-11.4746031085,3.4423809325,positive,fx,percent QoQ SAAR,new_release,dtwexbgs,
2026-01-01,2025-12-17,Industrial Production Index,exports,Exports,2026-01-01,,2026Q1,3.754166063455165,0.13355382773512636,3.6206122357,1.6292755061,positive,production,percent QoQ SAAR,carried_forward,indpro,
2026-01-01,2025-12-08,Nonfarm Payrolls,exports,Exports,2026-01-01,,2026Q1,-0.12875495860954048,0.8969992464902385,-1.0257542051,-0.2564385513,negative,labor,percent QoQ SAAR,carried_forward,payems,
2026-01-08,2026-01-01,Trade Weighted U.S. Dollar Index,exports,Exports,2026-01-08,2026-01-01,2026Q1,-12.393467509771298,-0.9188644013157491,-11.4746031085,3.4423809325,positive,fx,percent QoQ SAAR,carried_forward,dtwexbgs,
2026-01-08,2025-12-17,Industrial Production Index,exports,Exports,2026-01-08,2026-01-01,2026Q1,3.754166063455165,0.13355382773512636,3.6206122357,1.6292755061,positive,production,percent QoQ SAAR,carried_forward,indpro,
2026-01-08,2026-01-08,Nonfarm Payrolls,exports,Exports,2026-01-08,2026-01-01,2026Q1,1.2112648651320777,0.8718186609996655,0.3394462041,0.084861551,positive,labor,percent QoQ SAAR,new_release,payems,
2026-01-17,2026-01-01,Trade Weighted U.S. Dollar Index,exports,Exports,2026-01-17,2026-01-08,2026Q1,-12.393467509771298,-0.9188644013157491,-11.4746031085,3.4423809325,positive,fx,percent QoQ SAAR,carried_forward,dtwexbgs,
2026-01-17,2026-01-17,Industrial Production Index,exports,Exports,2026-01-17,2026-01-08,2026Q1,8.446366208936817,0.6326829116374796,7.8136832973,3.5161574838,positive,production,percent QoQ SAAR,new_release,indpro,
2026-01-17,2026-01-08,Nonfarm Payrolls,exports,Exports,2026-01-17,2026-01-08,2026Q1,1.2112648651320777,0.8718186609996655,0.3394462041,0.084861551,positive,labor,percent QoQ SAAR,carried_forward,payems,
2026-02-01,2026-02-01,Trade Weighted U.S. Dollar Index,exports,Exports,2026-02-01,2026-01-17,2026Q1,-8.655880321687773,-0.5685038759370402,-8.0873764458,2.4262129337,positive,fx,percent QoQ SAAR,new_release,dtwexbgs,
