as_of_date,reference_period,estimate_value,prior_estimate_value,delta_vs_prior,model_status,model_version
2026-01-02,2026Q1,2.9691060535,,,ok,us_gdp_component_bridge_v0.2.0
2026-01-08,2026Q1,2.9691060535,2.9691060535,0.0,ok,us_gdp_component_bridge_v0.2.0
2026-01-15,2026Q1,2.9691060535,2.9691060535,0.0,ok,us_gdp_component_bridge_v0.2.0
2026-01-17,2026Q1,2.9691060535,2.9691060535,0.0,ok,us_gdp_component_bridge_v0.2.0
2026-01-21,2026Q1,3.089864829,2.9691060535,0.1207587755,ok,us_gdp_component_bridge_v0.2.0
2026-01-25,2026Q1,3.089864829,3.089864829,0.0,ok,us_gdp_component_bridge_v0.2.0
2026-01-31,2026Q1,3.089864829,3.089864829,0.0,ok,us_gdp_component_bridge_v0.2.0
2026-02-01,2026Q1,2.7700599113,3.089864829,-0.3198049177,ok,us_gdp_component_bridge_v0.2.0
2026-02-02,2026Q1,2.7700599113,2.7700599113,0.0,ok,us_gdp_component_bridge_v0.2.0
2026-02-08,2026Q1,2.7700599113,2.7700599113,0.0,ok,us_gdp_component_bridge_v0.2.0
2026-02-15,2026Q1,1.709406784,2.7700599113,-1.0606531273,ok,us_gdp_component_bridge_v0.2.0
2026-02-17,2026Q1,1.709406784,1.709406784,0.0,ok,us_gdp_component_bridge_v0.2.0
2026-02-25,2026Q1,1.7102651026,1.709406784,0.0008583186,ok,us_gdp_component_bridge_v0.2.0
2026-03-02,2026Q1,1.7028769067,1.7102651026,-0.0073881959,ok,us_gdp_component_bridge_v0.2.0
2026-03-03,2026Q1,1.7083655658,1.7028769067,0.0054886591,ok,us_gdp_component_bridge_v0.2.0
2026-03-08,2026Q1,1.5525092955,1.7083655658,-0.1558562703,ok,us_gdp_component_bridge_v0.2.0
2026-03-17,2026Q1,2.0752400138,1.5525092955,0.5227307183,ok,us_gdp_component_bridge_v0.2.0
