as_of_date,release_date,release_name,indicator_code,indicator_name,latest_as_of_date,prior_as_of_date,reference_period,actual_value,expected_value,surprise,impact,direction,category,unit,notes,source,source_url
2026-01-01,2026-01-01,Trade Weighted U.S. Dollar Index,imports,Imports,2026-01-01,,2026Q1,-12.393467509771298,-0.9188644013157491,-11.4746031085,-2.8686507771,negative,fx,percent QoQ SAAR,new_release,dtwexbgs,
2026-01-01,2025-12-08,Nonfarm Payrolls,imports,Imports,2026-01-01,,2026Q1,-0.12875495860954048,0.8969992464902385,-1.0257542051,-0.3077262615,negative,labor,percent QoQ SAAR,carried_forward,payems,
2026-01-01,2025-12-15,Advance Retail Sales,imports,Imports,2026-01-01,,2026Q1,-0.0016332808188491501,3.602282220069528,-3.6039155009,-1.6217619754,negative,demand,percent QoQ SAAR,carried_forward,rsafs,
2026-01-08,2026-01-01,Trade Weighted U.S. Dollar Index,imports,Imports,2026-01-08,2026-01-01,2026Q1,-12.393467509771298,-0.9188644013157491,-11.4746031085,-2.8686507771,negative,fx,percent QoQ SAAR,carried_forward,dtwexbgs,
2026-01-08,2026-01-08,Nonfarm Payrolls,imports,Imports,2026-01-08,2026-01-01,2026Q1,1.2112648651320777,0.8718186609996655,0.3394462041,0.1018338612,positive,labor,percent QoQ SAAR,new_release,payems,
2026-01-08,2025-12-15,Advance Retail Sales,imports,Imports,2026-01-08,2026-01-01,2026Q1,-0.0016332808188491501,3.602282220069528,-3.6039155009,-1.6217619754,negative,demand,percent QoQ SAAR,carried_forward,rsafs,
2026-01-15,2026-01-01,Trade Weighted U.S. Dollar Index,imports,Imports,2026-01-15,2026-01-08,2026Q1,-12.393467509771298,-0.9188644013157491,-11.4746031085,-2.8686507771,negative,fx,percent QoQ SAAR,carried_forward,dtwexbgs,
2026-01-15,2026-01-08,Nonfarm Payrolls,imports,Imports,2026-01-15,2026-01-08,2026Q1,1.2112648651320777,0.8718186609996655,0.3394462041,0.1018338612,positive,labor,percent QoQ SAAR,carried_forward,payems,
2026-01-15,2026-01-15,Advance Retail Sales,imports,Imports,2026-01-15,2026-01-08,2026Q1,-1.245206665680795,3.99347973804963,-5.2386864037,-2.3574088817,negative,demand,percent QoQ SAAR,new_release,rsafs,
2026-02-01,2026-02-01,Trade Weighted U.S. Dollar Index,imports,Imports,2026-02-01,2026-01-15,2026Q1,-8.655880321687773,-0.5685038759370402,-8.0873764458,-2.0218441114,negative,fx,percent QoQ SAAR,new_release,dtwexbgs,
2026-02-01,2026-01-08,Nonfarm Payrolls,imports,Imports,2026-02-01,2026-01-15,2026Q1,1.2112648651320777,0.8718186609996655,0.3394462041,0.1018338612,positive,labor,percent QoQ SAAR,carried_forward,payems,
2026-02-01,2026-01-15,Advance Retail Sales,imports,Imports,2026-02-01,2026-01-15,2026Q1,-1.245206665680795,3.99347973804963,-5.2386864037,-2.3574088817,negative,demand,percent QoQ SAAR,carried_forward,rsafs,
2026-02-08,2026-02-01,Trade Weighted U.S. Dollar Index,imports,Imports,2026-02-08,2026-02-01,2026Q1,-8.655880321687773,-0.5685038759370402,-8.0873764458,-2.0218441114,negative,fx,percent QoQ SAAR,carried_forward,dtwexbgs,
2026-02-08,2026-02-08,Nonfarm Payrolls,imports,Imports,2026-02-08,2026-02-01,2026Q1,-1.0067781483845828,0.8118652063478785,-1.8186433547,-0.5455930064,negative,labor,percent QoQ SAAR,new_release,payems,
2026-02-08,2026-01-15,Advance Retail Sales,imports,Imports,2026-02-08,2026-02-01,2026Q1,-1.245206665680795,3.99347973804963,-5.2386864037,-2.3574088817,negative,demand,percent QoQ SAAR,carried_forward,rsafs,
2026-02-15,2026-02-01,Trade Weighted U.S. Dollar Index,imports,Imports,2026-02-15,2026-02-08,2026Q1,-8.655880321687773,-0.5685038759370402,-8.0873764458,-2.0218441114,negative,fx,percent QoQ SAAR,carried_forward,dtwexbgs,
2026-02-15,2026-02-08,Nonfarm Payrolls,imports,Imports,2026-02-15,2026-02-08,2026Q1,-1.0067781483845828,0.8118652063478785,-1.8186433547,-0.5455930064,negative,labor,percent QoQ SAAR,carried_forward,payems,
2026-02-15,2026-02-15,Advance Retail Sales,imports,Imports,2026-02-15,2026-02-08,2026Q1,7.190301349825992,2.5327643678747114,4.657536982,2.0958916419,positive,demand,percent QoQ SAAR,new_release,rsafs,
2026-03-01,2026-03-01,Trade Weighted U.S. Dollar Index,imports,Imports,2026-03-01,2026-02-15,2026Q1,-14.21790638302316,-0.15672693476955787,-14.0611794483,-3.5152948621,negative,fx,percent QoQ SAAR,new_release,dtwexbgs,
2026-03-01,2026-02-08,Nonfarm Payrolls,imports,Imports,2026-03-01,2026-02-15,2026Q1,-1.0067781483845828,0.8118652063478785,-1.8186433547,-0.5455930064,negative,labor,percent QoQ SAAR,carried_forward,payems,
2026-03-01,2026-02-15,Advance Retail Sales,imports,Imports,2026-03-01,2026-02-15,2026Q1,7.190301349825992,2.5327643678747114,4.657536982,2.0958916419,positive,demand,percent QoQ SAAR,carried_forward,rsafs,
2026-03-08,2026-03-01,Trade Weighted U.S. Dollar Index,imports,Imports,2026-03-08,2026-03-01,2026Q1,-14.21790638302316,-0.15672693476955787,-14.0611794483,-3.5152948621,negative,fx,percent QoQ SAAR,carried_forward,dtwexbgs,
2026-03-08,2026-03-08,Nonfarm Payrolls,imports,Imports,2026-03-08,2026-03-01,2026Q1,1.3472262181525898,0.7215017345094412,0.6257244836,0.1877173451,positive,labor,percent QoQ SAAR,new_release,payems,
2026-03-08,2026-02-15,Advance Retail Sales,imports,Imports,2026-03-08,2026-03-01,2026Q1,7.190301349825992,2.5327643678747114,4.657536982,2.0958916419,positive,demand,percent QoQ SAAR,carried_forward,rsafs,
2026-04-01,2026-04-01,Trade Weighted U.S. Dollar Index,imports,Imports,2026-04-01,2026-03-08,2026Q2,20.516421009062995,-0.6811032956020763,21.1975243047,5.2993810762,positive,fx,percent QoQ SAAR,new_release,dtwexbgs,
