as_of_date,release_date,release_name,indicator_code,indicator_name,latest_as_of_date,prior_as_of_date,reference_period,actual_value,expected_value,surprise,impact,direction,category,unit,notes,source,source_url
2026-01-15,2026-01-15,Consumer Price Index,inflation,Inflation,2026-01-15,,2026Q1,2.0483625585385346,2.9088290264103644,-0.8604664679,-0.3872099105,negative,prices,percent annualized,new_release,cpiaucsl,
2026-01-15,2025-12-31,Core PCE Price Index,inflation,Inflation,2026-01-15,,2026Q1,3.919253155925808,2.988240561587334,0.9310125943,0.325854408,positive,prices,percent annualized,carried_forward,pcepilfe,
2026-01-15,2026-01-15,Producer Price Index,inflation,Inflation,2026-01-15,,2026Q1,9.767713799813322,0.4432132820348211,9.3245005178,1.8649001036,positive,prices,percent annualized,new_release,ppiaco,
2026-01-31,2026-01-15,Consumer Price Index,inflation,Inflation,2026-01-31,2026-01-15,2026Q1,2.0483625585385346,2.9088290264103644,-0.8604664679,-0.3872099105,negative,prices,percent annualized,carried_forward,cpiaucsl,
2026-01-31,2026-01-31,Core PCE Price Index,inflation,Inflation,2026-01-31,2026-01-15,2026Q1,4.701224240328705,2.9791882622738237,1.7220359781,0.6027125923,positive,prices,percent annualized,new_release,pcepilfe,
2026-01-31,2026-01-15,Producer Price Index,inflation,Inflation,2026-01-31,2026-01-15,2026Q1,9.767713799813322,0.4432132820348211,9.3245005178,1.8649001036,positive,prices,percent annualized,carried_forward,ppiaco,
2026-02-15,2026-02-15,Consumer Price Index,inflation,Inflation,2026-02-15,2026-01-31,2026Q1,3.199767050731823,2.960596503260623,0.2391705475,0.1076267464,positive,prices,percent annualized,new_release,cpiaucsl,
2026-02-15,2026-01-31,Core PCE Price Index,inflation,Inflation,2026-02-15,2026-01-31,2026Q1,4.701224240328705,2.9791882622738237,1.7220359781,0.6027125923,positive,prices,percent annualized,carried_forward,pcepilfe,
2026-02-15,2026-02-15,Producer Price Index,inflation,Inflation,2026-02-15,2026-01-31,2026Q1,26.177647222733178,0.41473711120750956,25.7629101115,5.1525820223,positive,prices,percent annualized,new_release,ppiaco,
2026-03-03,2026-02-15,Consumer Price Index,inflation,Inflation,2026-03-03,2026-02-15,2026Q1,3.199767050731823,2.960596503260623,0.2391705475,0.1076267464,positive,prices,percent annualized,carried_forward,cpiaucsl,
2026-03-03,2026-03-03,Core PCE Price Index,inflation,Inflation,2026-03-03,2026-02-15,2026Q1,4.394225251000967,2.9525347691376123,1.4416904819,0.5045916687,positive,prices,percent annualized,new_release,pcepilfe,
2026-03-03,2026-02-15,Producer Price Index,inflation,Inflation,2026-03-03,2026-02-15,2026Q1,26.177647222733178,0.41473711120750956,25.7629101115,5.1525820223,positive,prices,percent annualized,carried_forward,ppiaco,
2026-03-15,2026-03-15,Consumer Price Index,inflation,Inflation,2026-03-15,2026-03-03,2026Q1,10.337074927014777,2.8728138213812677,7.4642611056,3.3589174975,positive,prices,percent annualized,new_release,cpiaucsl,
2026-03-15,2026-03-03,Core PCE Price Index,inflation,Inflation,2026-03-15,2026-03-03,2026Q1,4.394225251000967,2.9525347691376123,1.4416904819,0.5045916687,positive,prices,percent annualized,carried_forward,pcepilfe,
2026-03-15,2026-03-15,Producer Price Index,inflation,Inflation,2026-03-15,2026-03-03,2026Q1,21.226984206464575,1.3420631430276737,19.8849210634,3.9769842127,positive,prices,percent annualized,new_release,ppiaco,
